batch	precision_snv	precision_indel	recall_snv	recall_indel	mendelian_snv	mendelian_indel	total	precision_snv_performance	precision_indel_performance	recall_snv_performance	recall_indel_performance	mendelian_snv_performance	mendelian_indel_performance	total_performance
000001	0.99436	0.8977	0.99443	0.94038	0.97159	0.78498	0.96134	Good	Good	Good	Good	Good	Fair	Fair
000002	0.40718	0.39254	0.66852	0.59594	0.26179	0.41228	0.4464	Bad	Bad	Bad	Bad	Bad	Bad	Bad
000003	0.99485	0.92582	0.98779	0.92104	0.96182	0.78579	0.95816	Good	Good	Fair	Fair	Fair	Fair	Fair
101021	0.99464	0.93545	0.99758	0.96088	0.97818	0.85596	0.97442	Good	Great	Great	Great	Great	Great	Great
101555	0.99642	0.94319	0.99696	0.96382	0.97157	0.82936	0.9716	Great	Great	Great	Great	Good	Good	Great
101616	0.98603	0.80681	0.90555	0.71011	0.87442	0.59204	0.86689	Bad	Bad	Bad	Bad	Bad	Bad	Bad
101624	0.98662	0.85153	0.98971	0.93262	0.94764	0.79481	0.94885	Bad	Bad	Fair	Fair	Bad	Fair	Bad
101629	0.99527	0.9272	0.98998	0.92729	0.96368	0.79976	0.96112	Good	Good	Fair	Fair	Fair	Fair	Fair
101630ky	0.99607	0.86086	0.99516	0.93009	0.98971	0.84274	0.96784	Great	Fair	Good	Fair	Great	Good	Good
101630lc	0.99617	0.85997	0.99577	0.93207	0.98909	0.83465	0.96724	Great	Fair	Good	Fair	Great	Good	Good
101680	0.99523	0.92733	0.99517	0.97283	0.97601	0.89649	0.97683	Good	Good	Good	Great	Good	Great	Great
101688	0.99435	0.88386	0.99177	0.91954	0.96859	0.78182	0.95698	Fair	Fair	Fair	Fair	Fair	Fair	Fair
101805	0.99555	0.84343	0.99657	0.92388	0.9664	0.76494	0.95336	Great	Bad	Great	Fair	Fair	Bad	Fair
102032	0.98792	0.93458	0.96542	0.78922	0.93449	0.73404	0.92901	Fair	Great	Bad	Bad	Bad	Bad	Bad
102107	0.99377	0.89928	0.99769	0.95793	0.97399	0.81333	0.96659	Fair	Good	Great	Great	Good	Good	Good
102171	0.99434	0.90167	0.99495	0.94213	0.97321	0.8067	0.96429	Fair	Good	Good	Good	Good	Fair	Good
102192	0.99568	0.89383	0.99528	0.95007	0.97794	0.83293	0.96814	Great	Fair	Good	Good	Good	Good	Good
102210	0.99375	0.87863	0.99777	0.93697	0.97635	0.82231	0.96482	Fair	Fair	Great	Good	Good	Good	Good
102213	0.99203	0.94482	0.98216	0.91964	0.96013	0.8156	0.95949	Fair	Great	Bad	Fair	Fair	Good	Fair
102234	0.99516	0.93148	0.92134	0.80071	0.97028	0.8546	0.94028	Good	Good	Bad	Bad	Good	Great	Bad
102249	0.99512	0.95096	0.98815	0.92874	0.9762	0.83643	0.96875	Good	Great	Fair	Fair	Good	Good	Good
102276	0.98605	0.935	0.99332	0.95148	0.96771	0.87039	0.96887	Bad	Great	Fair	Good	Fair	Great	Good
102297	0.99479	0.89342	0.99587	0.93122	0.97524	0.76844	0.96013	Good	Fair	Good	Fair	Good	Bad	Fair
103112	0.98815	0.88793	0.99573	0.92839	0.97674	0.8282	0.96358	Fair	Fair	Good	Fair	Good	Good	Good
103122	0.987	0.84686	0.9899	0.93017	0.94776	0.80892	0.94968	Fair	Bad	Fair	Fair	Fair	Fair	Fair
103135	0.99661	0.94939	0.99759	0.97306	0.98812	0.87932	0.98121	Great	Great	Great	Great	Great	Great	Great
103146	0.99538	0.94917	0.99819	0.97749	0.98716	0.88566	0.9816	Great	Great	Great	Great	Great	Great	Great
105001	0.99261	0.839	0.9503	0.73708	0.96588	0.65365	0.91251	Fair	Bad	Bad	Bad	Fair	Bad	Bad
105343	0.99492	0.92173	0.99213	0.93052	0.96736	0.79047	0.96148	Good	Good	Fair	Fair	Fair	Fair	Fair
106002	0.97476	0.80438	0.91583	0.73731	0.78781	0.45455	0.83191	Bad	Bad	Bad	Bad	Bad	Bad	Bad
106416	0.98996	0.79218	0.99421	0.98041	0.96943	0.87027	0.96071	Fair	Bad	Good	Great	Fair	Great	Fair
112061	0.80067	0.74129	0.79957	0.77761	0.75836	0.70052	0.77639	Bad	Bad	Bad	Bad	Bad	Bad	Bad
112120	0.99575	0.89136	0.99673	0.94631	0.98014	0.81376	0.96694	Great	Fair	Great	Good	Great	Good	Good
112178	0.99506	0.88402	0.99518	0.93392	0.97272	0.78114	0.96007	Good	Fair	Good	Fair	Good	Fair	Fair
113089	0.99469	0.93133	0.9949	0.95447	0.97919	0.81067	0.96933	Good	Good	Good	Good	Great	Fair	Great
114091	0.99424	0.93286	0.99416	0.97012	0.97316	0.87508	0.97414	Fair	Great	Good	Great	Good	Great	Great
114132	0.99406	0.9059	0.98562	0.95388	0.96955	0.86649	0.96707	Fair	Good	Fair	Good	Fair	Great	Good
114139	0.99228	0.89577	0.99683	0.93844	0.97968	0.85079	0.96893	Fair	Fair	Great	Good	Great	Great	Good
114278	0.99118	0.88799	0.99574	0.93028	0.97671	0.83863	0.96539	Fair	Fair	Good	Fair	Good	Good	Good
114492	0.97528	0.84029	0.95547	0.80319	0.90768	0.67123	0.90448	Bad	Bad	Bad	Bad	Bad	Bad	Bad
114521	0.99161	0.90067	0.97292	0.86884	0.94396	0.70566	0.93546	Fair	Good	Bad	Bad	Bad	Bad	Bad
114656	0.99449	0.8618	0.99617	0.92779	0.98448	0.81804	0.96416	Good	Fair	Good	Fair	Great	Good	Good
114659	0.98598	0.89004	0.9895	0.94365	0.94941	0.82055	0.95521	Bad	Fair	Fair	Good	Fair	Good	Fair
114669	0.96517	0.4558	0.98545	0.91153	0.95867	0.85849	0.89846	Bad	Bad	Bad	Bad	Fair	Great	Bad
114677	0.99601	0.89641	0.99491	0.94422	0.98175	0.82499	0.96817	Great	Good	Good	Good	Great	Good	Good
114679	0.97739	0.85158	0.96908	0.87539	0.91196	0.73603	0.92282	Bad	Fair	Bad	Bad	Bad	Bad	Bad
114822	0.99405	0.95437	0.991	0.93929	0.95694	0.84517	0.96611	Fair	Great	Fair	Good	Fair	Good	Good
114885	0.99479	0.92126	0.99163	0.9279	0.96706	0.78872	0.96086	Good	Good	Fair	Fair	Fair	Fair	Fair
114945	0.98698	0.86597	0.98952	0.93492	0.94547	0.81465	0.95143	Bad	Fair	Fair	Good	Bad	Good	Fair
119130	0.99304	0.88522	0.99415	0.94022	0.95795	0.76889	0.95512	Fair	Fair	Good	Good	Fair	Bad	Fair
121286	0.99448	0.94077	0.99224	0.93504	0.96473	0.81514	0.96469	Good	Great	Fair	Good	Fair	Good	Good
121381	0.99581	0.95541	0.99638	0.96412	0.97837	0.8786	0.97795	Great	Great	Great	Great	Great	Great	Great
121406	0.99812	0.99088	0.99808	0.99697	0.98145	0.94081	0.98919	Great	Great	Great	Great	Great	Great	Great
121411	0.99501	0.88388	0.998	0.93951	0.97809	0.82401	0.96639	Good	Fair	Great	Good	Great	Good	Good
121475	0.99221	0.89142	0.9847	0.9072	0.95469	0.77113	0.94991	Fair	Fair	Bad	Bad	Fair	Fair	Fair
121477	0.99624	0.92075	0.99661	0.95762	0.98091	0.82306	0.97113	Great	Good	Great	Great	Great	Good	Great
121503	0.99517	0.91708	0.99325	0.95561	0.97348	0.80117	0.96578	Good	Good	Fair	Good	Good	Fair	Good
121512	0.98686	0.8511	0.98972	0.93155	0.94564	0.80508	0.9492	Bad	Bad	Fair	Fair	Bad	Fair	Fair
121532	0.99544	0.83749	0.99419	0.91643	0.97415	0.80191	0.95696	Great	Bad	Good	Bad	Good	Fair	Fair
121535	0.99469	0.89871	0.99516	0.92579	0.97439	0.76809	0.95969	Good	Good	Good	Fair	Good	Bad	Fair
121567	0.85584	0.81683	0.90158	0.84838	0.65159	0.56244	0.78991	Bad	Bad	Bad	Bad	Bad	Bad	Bad
121596	0.99515	0.91808	0.99545	0.93855	0.96735	0.77761	0.96153	Good	Good	Good	Good	Fair	Fair	Good
122128	0.98762	0.85622	0.98996	0.93418	0.94361	0.81144	0.95011	Fair	Fair	Fair	Good	Bad	Good	Fair
122334	0.99521	0.93192	0.99469	0.97325	0.97711	0.90245	0.9778	Good	Good	Good	Great	Good	Great	Great
122343	0.99648	0.94302	0.99682	0.96347	0.97116	0.82518	0.97108	Great	Great	Great	Great	Good	Good	Great
126176	0.98657	0.85187	0.98975	0.9344	0.94667	0.78532	0.94793	Bad	Fair	Fair	Good	Bad	Fair	Bad
130008-6	0.98501	0.80858	0.90678	0.71923	0.85857	0.58408	0.86349	Bad	Bad	Bad	Bad	Bad	Bad	Bad
130207	0.98587	0.80771	0.90586	0.71088	0.87169	0.59155	0.86641	Bad	Bad	Bad	Bad	Bad	Bad	Bad
301152	0.99363	0.88858	0.99263	0.93332	0.97014	0.77275	0.95795	Fair	Fair	Fair	Fair	Good	Fair	Fair
301157	0.99464	0.93632	0.99062	0.95153	0.97754	0.86736	0.97276	Good	Great	Fair	Good	Good	Great	Great
302073	0.99375	0.92337	0.99337	0.93466	0.96553	0.80173	0.9625	Fair	Good	Fair	Good	Fair	Fair	Good
302087	0.9936	0.94378	0.99794	0.97241	0.97454	0.83295	0.97282	Fair	Great	Great	Great	Good	Good	Great
303033	0.9943	0.92548	0.99787	0.95751	0.97683	0.84917	0.97252	Fair	Good	Great	Great	Good	Good	Great
308004	0.99553	0.87728	0.99602	0.93581	0.98255	0.81941	0.9659	Great	Fair	Good	Good	Great	Good	Good
312006	0.99604	0.88767	0.9959	0.9413	0.98022	0.80574	0.96543	Great	Fair	Good	Good	Great	Fair	Good
314133	0.995	0.92565	0.9886	0.92321	0.96158	0.79031	0.95891	Good	Good	Fair	Fair	Fair	Fair	Fair
321031	0.99481	0.9323	0.98978	0.92998	0.9641	0.80661	0.96224	Good	Good	Fair	Fair	Fair	Fair	Good
322021	0.99492	0.93143	0.9891	0.92824	0.96361	0.80254	0.96142	Good	Good	Fair	Fair	Fair	Fair	Fair
322024	0.99485	0.93077	0.99609	0.97461	0.97647	0.89998	0.97774	Good	Good	Good	Great	Good	Great	Great
322057	0.98847	0.87668	0.99496	0.92924	0.96309	0.78181	0.95512	Fair	Fair	Good	Fair	Fair	Fair	Fair
